设备编号,流水日期,取款存款轧差
20020008,2019/7/22,90900
20020008,2019/7/23,-27600
20020008,2019/7/24,232200
20020008,2019/7/25,-15500
20020008,2019/7/26,345900
20020008,2019/7/27,116500
20020008,2019/7/28,-65100
20020008,2019/7/29,-20000
20020008,2019/7/30,170600
20020008,2019/7/31,214200
20020008,2019/8/1,-80700
20020008,2019/8/2,-48200
20020008,2019/8/3,-52500
20020008,2019/8/4,128100
20020008,2019/8/5,136400
20020008,2019/8/6,23900
20020008,2019/8/7,-10800
20020008,2019/8/8,173100
20020008,2019/8/9,180500
20020008,2019/8/10,68300
20020008,2019/8/11,-61700
20020008,2019/8/12,75600
20020008,2019/8/13,-20100
20020008,2019/8/14,75700
20020008,2019/8/15,-94100
20020008,2019/8/16,-98400
20020008,2019/8/17,9800
20020008,2019/8/18,497500
20020008,2019/8/19,206600
20020008,2019/8/20,70500
20020008,2019/8/21,39100
20020008,2019/8/22,-2100
20020008,2019/8/23,32200
20020008,2019/8/24,27400
20020008,2019/8/25,478100
20020008,2019/8/26,-94300
20020008,2019/8/27,75700
20020008,2019/8/28,60800
20020008,2019/8/29,-44300
20020008,2019/8/30,135100
20020008,2019/8/31,28600
20020008,2019/9/1,545500
20020008,2019/9/2,6100
20020008,2019/9/3,-24300
20020008,2019/9/4,442000
20020008,2019/9/5,3500
20020008,2019/9/6,67400
20020008,2019/9/7,-37300
20020008,2019/9/8,38200
20020008,2019/9/9,-5900
20020008,2019/9/10,26700
20020008,2019/9/11,-3600
20020008,2019/9/12,256100
20020008,2019/9/13,334800
20020008,2019/9/14,176800
20020008,2019/9/15,121300
20020008,2019/9/16,20700
20020008,2019/9/17,29100
20020008,2019/9/18,-8000
20020008,2019/9/19,-29400
20020008,2019/9/20,11000
20020008,2019/9/21,563300
20020008,2019/9/22,111400
20020008,2019/9/23,10700
20020008,2019/9/24,65300
20020008,2019/9/25,-194900
20020008,2019/9/26,164000
20020008,2019/9/27,269200
20020008,2019/9/28,481300
20020008,2019/9/29,589900
20020008,2019/9/30,55100
20020008,2019/10/1,2900
20020008,2019/10/2,65800
20020008,2019/10/3,22400
20020008,2019/10/4,43700
20020008,2019/10/5,-29400
20020008,2019/10/6,124100
20020008,2019/10/7,-4000
20020008,2019/10/8,130100
20020008,2019/10/9,-91200
20020008,2019/10/10,-80600
20020008,2019/10/11,142100
20020008,2019/10/12,112600
20020008,2019/10/13,165400
20020008,2019/10/14,248200
20020008,2019/10/15,-47700
20020008,2019/10/16,-71900
20020008,2019/10/17,192800
20020008,2019/10/18,310200
20020008,2019/10/19,-15100
20020008,2019/10/20,117200
20020008,2019/10/21,-18600
20020008,2019/10/22,47500
20020008,2019/10/23,471200
20020008,2019/10/24,117300
20020008,2019/10/25,14300
20020008,2019/10/26,5500
20020008,2019/10/27,-3700
20020008,2019/10/28,48800
20020008,2019/10/29,159800
20020008,2019/10/30,73200
20020008,2019/10/31,203100
20020008,2019/11/1,20700
20020008,2019/11/2,-3700
20020008,2019/11/3,74900
20020008,2019/11/4,400
20020008,2019/11/5,15300
20020008,2019/11/6,234900
20020008,2019/11/7,290500
20020008,2019/11/8,-16400
20020008,2019/11/9,-10500
20020008,2019/11/10,109700
20020008,2019/11/11,58100
20020008,2019/11/12,97400
20020008,2019/11/13,97200
20020008,2019/11/14,233400
20020008,2019/11/15,-12700
20020008,2019/11/16,17560
20020008,2019/11/17,62280
20020008,2019/11/18,11100
20020008,2019/11/19,552400
20020008,2019/11/20,120100
20020008,2019/11/21,565500
20020008,2019/11/22,-38400
20020008,2019/11/23,111600
20020008,2019/11/24,13300
20020008,2019/11/25,50800
20020008,2019/11/26,41500
20020008,2019/11/27,610200
20020008,2019/11/28,323125
20020008,2019/11/29,-11700
20020008,2019/11/30,32467
20020008,2019/12/1,65967
20020008,2019/12/2,30100
20020008,2019/12/3,176650
20020008,2019/12/4,265600
20020008,2019/12/5,363133
20020008,2019/12/6,-22500
20020008,2019/12/7,50550
20020008,2019/12/8,61500
20020019,2018/6/4,-35100
20020019,2019/7/11,5000
20020019,2019/7/17,1100
20020019,2019/7/19,2800
20020019,2019/7/20,0
20020019,2019/7/21,200
20020019,2019/7/22,-50000
20020019,2019/7/24,10000
20020019,2019/7/27,-300
20020019,2019/7/29,-100
20020019,2019/7/31,1400
20020019,2019/8/1,-8900
20020019,2019/8/2,0
20020019,2019/8/3,0
20020019,2019/8/5,1800
20020019,2019/8/7,-400
20020019,2019/8/9,-4900
20020019,2019/8/14,9800
20020019,2019/8/16,18900
20020019,2019/8/18,0
20020019,2019/8/22,-2000
20020019,2019/8/24,0
20020019,2019/8/25,1000
20020019,2019/8/26,13800
20020019,2019/8/27,-29600
20020019,2019/8/28,5100
20020019,2019/8/29,-1500
20020019,2019/8/30,400
20020019,2019/9/6,0
20020019,2019/9/7,10500
20020019,2019/9/9,-500
20020019,2019/9/12,1100
20020019,2019/9/13,-3900
20020019,2019/9/15,-1500
20020019,2019/9/17,2000
20020019,2019/9/18,900
20020019,2019/9/19,10900
20020019,2019/9/20,0
20020019,2019/9/21,-10000
20020019,2019/9/23,2500
20020019,2019/9/25,-900
20020019,2019/10/1,5000
20020019,2019/10/8,-2900
20020019,2019/10/9,4400
20020019,2019/10/10,0
20020019,2019/10/12,6000
20020019,2019/10/16,0
20020019,2019/10/17,-1000
20020019,2019/10/18,-500
20020019,2019/10/23,-200
20020019,2019/10/25,-7000
20020019,2019/10/26,2000
20020019,2019/11/7,0
20020019,2019/11/8,2500
20020019,2019/11/9,-2000
20020019,2019/11/10,0
20020019,2019/11/11,-9700
20020019,2019/11/12,0
20020019,2019/11/13,0
20020019,2019/11/14,-11500
20020019,2019/11/15,600
20020019,2019/11/16,0
20020019,2019/11/17,600
20020019,2019/11/18,0
20020019,2019/11/19,1000
20020019,2019/11/20,8000
20020019,2019/11/21,700
20020019,2019/11/22,500
20020019,2019/11/23,0
20020019,2019/11/25,0
20020019,2019/11/27,5200
20020031,2019/6/15,-176300
20020031,2019/6/25,-64000
20020031,2019/6/26,112400
20020031,2019/6/27,-500
20020031,2019/6/28,-3900
20020031,2019/6/29,-50400
20020031,2019/6/30,-23200
20020031,2019/7/1,-71800
20020031,2019/7/2,40900
20020031,2019/7/3,-46200
20020031,2019/7/4,-33800
20020031,2019/7/5,39300
20020031,2019/7/6,54600
20020031,2019/7/7,6400
20020031,2019/7/8,-107100
20020031,2019/7/9,-204500
20020031,2019/7/10,-26000
20020031,2019/7/11,-39500
20020031,2019/7/12,83200
20020031,2019/7/13,25700
20020031,2019/7/14,127300
20020031,2019/7/15,73100
20020031,2019/7/16,98700
20020031,2019/7/17,-3000
20020031,2019/7/18,22100
20020031,2019/7/19,68600
20020031,2019/7/20,104500
20020031,2019/7/21,-30000
20020031,2019/7/22,7000
20020031,2019/7/23,40500
20020031,2019/7/24,59200
20020031,2019/7/25,-50800
20020031,2019/7/26,97200
20020031,2019/7/27,200
20020031,2019/7/28,-1100
20020031,2019/7/29,30100
20020031,2019/7/30,-330700
20020031,2019/7/31,47300
20020031,2019/8/1,-49200
20020031,2019/8/2,89900
20020031,2019/8/3,91300
20020031,2019/8/4,-53800
20020031,2019/8/5,-41200
20020031,2019/8/6,-18500
20020031,2019/8/7,-9300
20020031,2019/8/8,-133000
20020031,2019/8/9,-55200
20020031,2019/8/10,-126500
20020031,2019/8/11,-18400
20020031,2019/8/12,-72200
20020031,2019/8/13,-127300
20020031,2019/8/14,20000
20020031,2019/8/15,-83400
20020031,2019/8/16,-98000
20020031,2019/8/17,-25200
20020031,2019/8/18,92500
20020031,2019/8/19,-23200
20020031,2019/8/20,-34100
20020031,2019/8/21,-53800
20020031,2019/8/22,81000
20020031,2019/8/23,-96900
20020031,2019/8/24,-71400
20020031,2019/8/25,49900
20020031,2019/8/26,-36000
20020031,2019/8/27,94700
20020031,2019/8/28,-82900
20020031,2019/8/29,-30300
20020031,2019/8/30,-69300
20020031,2019/8/31,58700
20020031,2019/9/1,-165100
20020031,2019/9/2,-9000
20020031,2019/9/3,-31800
20020031,2019/9/4,8800
20020031,2019/9/5,-45200
20020031,2019/9/6,67100
20020031,2019/9/7,46600
20020031,2019/9/8,-21200
20020031,2019/9/9,52600
20020031,2019/9/10,37700
20020031,2019/9/11,-13500
20020031,2019/9/12,109100
20020031,2019/9/13,-108900
20020031,2019/9/14,155500
20020031,2019/9/15,19900
20020031,2019/9/16,-31700
20020031,2019/9/17,13200
20020031,2019/9/18,-11000
20020031,2019/9/19,-6500
20020031,2019/9/20,13100
20020031,2019/9/21,32500
20020031,2019/9/22,117200
20020031,2019/9/23,-62000
20020031,2019/9/24,56700
20020031,2019/9/25,-45900
20020031,2019/9/26,13200
20020031,2019/9/27,157800
20020031,2019/9/28,231800
20020031,2019/9/29,71400
20020031,2019/9/30,16700
20020031,2019/10/1,-86200
20020031,2019/10/2,118300
20020031,2019/10/3,-5400
20020031,2019/10/4,-3700
20020031,2019/10/5,-316400
20020031,2019/10/6,121300
20020031,2019/10/7,53600
20020031,2019/10/8,-8600
20020031,2019/10/9,-103000
20020031,2019/10/10,34200
20020031,2019/10/11,-46600
20020031,2019/10/12,-8700
20020031,2019/10/13,-34600
20020031,2019/10/14,-251000
20020031,2019/10/15,-83200
20020031,2019/10/16,-34100
20020031,2019/10/17,-9200
20020031,2019/10/18,-7300
20020031,2019/10/19,67100
20020031,2019/10/20,299800
20020031,2019/10/21,24500
20020031,2019/10/22,-56300
20020031,2019/10/23,88300
20020031,2019/10/24,-101900
20020031,2019/10/25,27700
20020031,2019/10/26,231000
20020031,2019/10/27,42100
20020031,2019/10/28,-8500
20020031,2019/10/29,48400
20020031,2019/10/30,-46500
20020031,2019/10/31,23800
20020031,2019/11/1,63900
20020031,2019/11/2,50300
20020031,2019/11/3,-21400
20020031,2019/11/4,-7100
20020031,2019/11/5,98900
20020031,2019/11/6,7900
20020031,2019/11/7,28000
20020031,2019/11/8,51700
20020031,2019/11/9,-28200
20020031,2019/11/10,96200
20020031,2019/11/11,13500
20020031,2019/11/12,-93100
20020031,2019/11/13,20500
20020031,2019/11/14,-15500
20020031,2019/11/15,-35400
20020031,2019/11/16,246700
20020031,2019/11/17,222600
20020031,2019/11/18,-154500
20020031,2019/11/19,-125100
20020031,2019/11/20,-45400
20020031,2019/11/21,-12500
20020031,2019/11/22,-51700
20020031,2019/11/23,100300
