33600,121100,-82800,127800,154900,623800,225400
-53600,118800,8600,5700,4800,286800,45100
3300,2000,-8700,2000,5000,-9400,-3500
-204500,-26000,-39500,83200,25700,127300,73100
-16800,-24900,-400,25900,66400,24600,17200
10600,-11300,-9600,-7000,1300,6100,16800
-48000,93800,58400,65000,56500,282100,55500
21800,-33900,50700,32000,5300,-1900,27000
29100,3700,-3200,15100,5500,26100,33000
25500,2000,-19400,-20400,2000,11000,31400
4400,-38200,213600,53300,118000,-400,82300
-2300,-6300,112000,12500,-12800,-17300,-11700
62700,78800,96800,43200,81600,300,37700
7400,15300,8800,8500,500,1700,100
26800,232100,124900,185200,3000,35500,137100
32700,-53900,94000,84700,19100,355400,52000
52700,2600,60500,44800,6500,31600,48500
20900,22200,38400,40300,50700,-6900,74400
130500,28800,124800,25000,43300,138600,55500
-92900,-69300,2300,-10800,19400,-17000,-18900
10600,3600,-7000,-14300,7500,4800,-15100
45300,105800,90300,77400,156800,266100,76900
-8400,-35200,19600,-74100,-67000,-15500,-46800
800,1100,-3600,2600,2000,2800,0
-25600,11000,11200,7100,46300,11900,32000
19300,-28000,5200,-9200,-49400,269400,10300
3200,1800,21400,1400,-30600,14400,4000
-16800,2600,1600,-2300,0,1900,-1500
-6800,3400,-22500,39100,-300,5300,-1600
360900,634400,167700,103200,671600,124500,466900
159500,323700,833900,463700,310400,15300,363900
74200,38700,-28000,47700,5800,21000,19700
321500,176000,353200,421900,204300,24300,255700
228600,531100,283800,105200,462000,242600,-74500
66800,-16000,-41600,79500,-21800,48700,194100
-41900,104800,43800,69100,-13800,26000,48000
60100,-45100,26200,5300,30400,78600,38200
-4200,-36100,40500,-58400,-4100,264400,31400
30300,15100,-4600,-1500,40100,0,-43000
-10100,-108500,37300,99400,-44100,281300,-19900
34800,152200,84900,245900,102300,193900,-43000
-6250,4300,16000,23000,53400,35100,22900
2100,15100,10200,18900,43000,2000,6400
-85200,9100,-36100,-174600,103200,53800,-49800
12900,34700,24400,87400,38600,-1900,22500
-7800,17600,6000,2000,-13600,2000,0
600,3000,200,700,30100,5400,500
-2400,47900,7300,-29700,23700,-6800,13800
-110300,-31300,-28800,89300,-2300,132400,9300
-96700,-53000,447800,153700,-24100,16400,-18500
2400,-22200,-200,2900,-7000,6600,-23600
26800,100,0,20000,-26900,-3500,-2000
0,-40000,0,500,0,-78000,38300
-41800,-27700,32200,-9400,-24200,-15200,33400
-21500,-36100,13900,2300,-7300,39800,20600
-35700,20000,-41500,62100,-31600,176500,-40400
55000,28700,46500,55400,38500,584600,120100
567600,325900,519300,925000,466800,3500,838200
497600,3700,336300,336400,444500,142100,266700
389600,37800,661100,346100,289900,-1000,136900
88400,-1300,21300,8000,0,0,377100
60400,42200,-38300,43600,19900,20000,52200
124700,102500,103900,99900,220000,569200,131600
1700,-2600,6100,-3300,-44000,-1300,24500
147200,98400,86100,145100,94800,39000,82000
11400,34600,9400,31000,25200,17200,800
38900,3200,26000,30200,6000,-600,21700
1200,4000,6300,-25600,12700,-6500,17100
39100,5600,23500,22300,6600,8300,7700
-1900,6500,16500,27200,14200,56900,26600
27800,27700,43500,22700,7500,20000,20400
5500,32600,-500,5200,0,1000,11500
