0,15700,4100,33200,28800,32400,25500,27500,14200,8100,2900,3100,4100,18600,4100,1700,3300,9300,4600,14500,3300,16000,8700,7700,26200,16400,16200,26200,26200,3100,5900,5900,26500,5900,5900,28600,28800,28800,27500,13300,4100,6200,33400,3200,5400,11900,28100,26200,18500,4100,10000,25900,28100,28100,28500,28500,27500,6200,325,9400,9400,5800,4700,15700,3200,6700,18600,4500,4100,18500,16400,6000,5600
15700,0,11800,43300,31800,40500,34700,30700,3300,17200,17800,18100,14500,3100,14500,14300,17500,23400,11800,2600,12600,31000,12000,12200,37800,31400,31300,37800,37800,17000,13700,13700,34300,13700,13700,31500,32000,32000,30700,28400,11800,12900,43700,12500,15600,5000,40000,37800,32500,11800,19700,34300,40000,40000,31600,31600,30700,12900,16000,18600,18600,10900,11600,0,12500,11700,3100,11800,14500,32500,31400,19100,11200
4100,11800,0,36200,29700,34600,28100,28500,10100,9700,6800,7000,5300,14700,5300,2600,6800,13000,3000,10400,861,20000,7800,6900,29500,20400,20200,29500,29500,6400,6100,6100,28800,6100,6100,29500,29800,29800,28500,17300,0,5900,36400,1200,7000,7900,31500,29500,22400,0,12100,28300,31500,31500,29500,29500,28500,5900,4400,11300,11300,3900,3000,11800,1200,5600,14700,3000,5300,22400,20400,9200,3900
33200,43300,36200,0,18900,6100,8700,18700,44100,26900,30400,30400,31000,44800,31000,34800,29900,24500,33900,44000,35700,22400,31400,31600,7900,22300,22700,7900,7900,30200,30900,30900,10000,30900,30900,19000,18300,18300,18700,23800,36200,31400,689,35000,29400,42500,7200,7900,17700,36200,24300,9600,7200,7200,18700,18700,18700,31400,33000,25300,25300,34000,34000,43300,35000,32400,44800,33800,31000,17700,22300,27200,33700
28800,31800,29700,18900,0,12900,12800,1300,33900,20700,26900,27000,25000,32200,25000,29700,26000,24100,26800,33400,29700,28000,22300,23100,19500,28000,28400,19500,19500,26000,23700,23700,9900,23700,23700,262,528,528,1300,27300,29700,23800,19500,28800,23400,33000,21300,19500,24400,29700,19100,11000,21300,21300,288,288,1300,23800,28700,19400,19400,26100,26800,31800,28800,24300,32200,26800,25000,24400,28000,23700,26000
32400,40500,34600,6100,12900,0,7000,13300,41700,25200,29800,29600,29600,41700,29600,33900,29100,24600,32300,41400,34500,24500,29100,29400,10900,24400,24900,10900,10900,29400,29000,29000,6300,29000,29000,13300,12600,12600,13300,25200,34600,29500,6800,33700,27900,40400,11300,10900,19800,34600,22800,6600,11300,11300,13100,13100,13300,29500,32200,23600,23600,32100,32400,40500,33700,30400,41700,32200,29600,19800,24400,26400,31900
25500,34700,28100,8700,12800,7000,0,12200,35500,18600,22900,22700,22800,36100,22800,27000,22200,17600,25700,35300,27800,18000,22900,23100,6700,17900,18400,6700,6700,22500,22500,22500,3200,22500,22500,12900,12400,12400,12200,18400,28100,23100,9100,27000,21200,34000,8500,6700,13500,28100,16100,1900,8500,8500,12700,12700,12200,23100,25300,17000,17000,25600,25800,34700,27000,24000,36100,25600,22800,13500,17900,19500,25400
27500,30700,28500,18700,1300,13300,12200,0,32600,19400,25600,25500,23700,31100,23700,28400,24700,22900,25500,32200,28400,26800,21100,21800,18900,26900,27300,18900,18900,24700,22300,22300,9400,22300,22300,1100,1400,1400,0,26100,28500,22500,19400,27500,22100,31800,20700,18900,23400,28500,17800,10500,20700,20700,1000,1000,0,22500,27400,18100,18100,24900,25500,30700,27500,23000,31100,25500,23700,23400,26900,22500,24700
14200,3300,10100,44100,33900,41700,35500,32600,0,17300,16600,16900,14000,6100,14000,12700,16600,22700,11000,700,11000,30100,12600,12500,38100,30400,30300,38100,38100,16100,13600,13600,35400,13600,13600,33400,33900,33900,32600,27400,10100,12800,44300,11100,15300,2300,40200,38100,32000,10100,19900,35200,40200,40200,33500,33500,32600,12800,14500,18800,18800,10400,10800,3300,11100,11700,6100,11000,14000,32000,30400,18500,10700
8100,17200,9700,26900,20700,25200,18600,19400,17300,0,6500,6600,4500,19300,4500,9100,5500,7600,7100,17200,9400,15300,5300,5000,20800,15600,15700,20800,20800,5400,3900,3900,19100,3900,3900,20500,20700,20700,19400,12900,9700,4500,27100,8500,2800,15600,22900,20800,15700,9700,2600,18700,22900,22900,20400,20400,19400,4500,8000,1600,1600,7100,7200,17200,8500,5600,19300,7000,4500,15700,15600,4100,6800
2900,17800,6800,30400,26900,29800,22900,25600,16600,6500,0,250,4000,20600,4000,4600,1000,6400,6100,16900,5900,13400,8900,7900,23400,13800,13600,23400,23400,1300,5800,5800,24100,5800,5800,26800,26900,26900,25600,10700,6800,6500,30600,5600,4500,14500,25300,23400,15700,6800,7900,23400,25300,25300,26700,26700,25600,6500,2600,7600,7600,7200,6300,17800,5600,7400,20600,6000,4000,15700,13800,3400,6900
3100,18100,7000,30400,27000,29600,22700,25500,16900,6600,250,0,4200,20800,4200,4800,1100,6200,6300,17100,6200,13200,9100,8100,23200,13500,13400,23200,23200,1400,6000,6000,24000,6000,6000,26800,26900,26900,25500,10400,7000,6700,30400,5800,4600,14700,25100,23200,15500,7000,7900,23300,25100,25100,26700,26700,25500,6700,2800,7600,7600,7400,6500,18100,5800,7600,20800,6300,4200,15500,13500,3300,7200
4100,14500,5300,31000,25000,29600,22800,23700,14000,4500,4000,4200,0,17100,0,4700,3300,8800,3000,14000,4900,16500,5000,3900,24500,16900,16800,24500,24500,2800,1900,1900,23500,1900,1900,24700,25000,25000,23700,13900,5300,2500,31200,4100,1700,12000,26600,24500,18000,5300,6800,23000,26600,26600,24700,24700,23700,2500,4100,6000,6000,3600,3200,14500,4100,3400,17100,3000,0,18000,16900,4600,3400
18600,3100,14700,44800,32200,41700,36100,31100,6100,19300,20600,20800,17100,0,17100,17200,20200,25900,14500,5400,15600,33700,14000,14400,39700,34000,33900,39700,39700,19700,16200,16200,35500,16200,16200,31900,32500,32500,31100,31000,14700,15300,45200,15400,18100,8100,41900,39700,34900,14700,21800,35600,41900,41900,32000,32000,31100,15300,18900,20600,20600,13500,14300,3100,15400,14100,0,14600,17100,34900,34000,21600,13800
4100,14500,5300,31000,25000,29600,22800,23700,14000,4500,4000,4200,0,17100,0,4700,3300,8800,3000,14000,4900,16500,5000,3900,24500,16900,116800,24500,24500,2800,1900,1900,23500,1900,1900,24700,25000,25000,23700,13900,5300,2500,31200,4100,1700,12000,26600,24500,18000,5300,6800,23000,26600,26600,24700,24700,23700,2500,4100,6000,6000,3600,3200,14500,4100,3400,17100,3000,0,18000,16900,4600,3400
1700,14300,2600,34800,29700,33900,27000,28400,12700,9100,4600,4800,4700,17200,4700,0,5000,11100,4000,12900,1700,17700,8800,7700,27900,18100,17900,27900,27900,4700,6300,6300,27900,6300,6300,29500,29700,29700,28400,15000,2600,6400,35000,2000,6300,10300,29800,27900,20300,2600,11300,27400,29800,29800,29400,29400,28400,6400,2100,10600,10600,5300,4100,14300,2000,6600,17200,3900,4700,20300,18100,7600,5200
3300,17500,6800,29900,26000,29100,22200,24700,16600,5500,1000,1100,3300,20200,3300,5000,0,6300,5700,16700,6100,13600,8100,7100,22900,13900,13800,22900,22900,459,4900,4900,23300,4900,4900,25800,26000,26000,24700,10900,6800,5700,30000,5600,3500,14400,24900,22900,15600,6800,6900,22600,24900,24900,25700,25700,24700,5700,3100,6600,6600,6700,5900,17500,5600,6600,20200,5600,3300,15600,13900,2700,6400
9300,23400,13000,24500,24100,24600,17600,22900,22700,7600,6400,6200,8800,25900,8800,11100,6300,0,11800,22800,12300,7800,12500,11800,17200,8200,8200,17200,17200,6700,9800,9800,19200,9800,9800,24000,24000,24000,22900,5400,13000,10700,24600,11900,7900,20600,19000,17200,9300,13000,6600,18400,19000,19000,23800,23800,22900,10700,9000,7200,7200,12500,11900,23400,11900,11900,25900,11700,8800,9300,8200,4300,12200
4600,11800,3000,33900,26800,32300,25700,25500,11000,7100,6100,6300,3000,14500,3000,4000,5700,11800,0,11000,3100,19300,4900,3900,27500,19700,19500,27500,27500,5300,3300,3300,26100,3300,3300,26500,26900,26900,25500,16600,3000,3000,34100,2200,4600,8900,29500,27500,21000,3000,9600,25700,29500,29500,26500,26500,25500,3000,4800,8700,8700,1300,180,11800,2200,2700,14500,104,3000,21000,19700,7600,1200
14500,2600,10400,44000,33400,41400,35300,32200,700,17200,16900,17100,14000,5400,14000,12900,16700,22800,11000,0,11300,30200,12400,12300,38000,30600,30500,38000,38000,16200,13600,13600,35200,13600,13600,33000,33500,33500,32200,27600,10400,12700,44100,11300,15300,2800,40200,38000,32100,10400,19800,35000,40200,40200,33100,33100,32200,12700,14800,18700,18700,10400,10900,2600,11300,11600,5400,11100,14000,32100,30600,18600,10700
3300,12600,861,35700,29700,34500,27800,28400,11000,9400,5900,6200,4900,15600,4900,1700,6100,12300,3100,11300,0,19300,8000,7100,28900,19600,19400,28900,28900,5700,6000,6000,28500,6000,6000,29500,29800,29800,28400,16500,861,6000,35900,938,6700,8700,30900,28900,21600,861,11800,28000,30900,30900,29400,29400,28400,6000,3600,10900,10900,4200,3200,12600,938,5800,15600,3100,4900,21600,19600,8600,4200
16000,31000,20000,22400,28000,24500,18000,26800,30100,15300,13400,13200,16500,33700,16500,17700,13600,7800,19300,30200,19300,0,20300,19700,14500,374,494,14500,14500,14100,17700,17700,20500,17700,17700,27800,27600,27600,26800,2700,20000,18500,22200,19000,15700,27900,15600,14500,4700,20000,13800,19400,15600,15600,27600,27600,26800,18500,15700,14700,14700,20200,19500,31000,19000,19700,33700,19200,16500,4700,374,12100,19900
8700,12000,7800,31400,22300,29100,22900,21100,12600,5300,8900,9100,5000,14000,5000,8800,8100,12500,4900,12400,8000,20300,0,1100,25800,20700,20700,25800,25800,7700,3100,3100,22900,3100,3100,22100,22500,22500,21100,17800,7800,2500,31700,7100,4800,11300,28000,25800,21000,7800,7700,22600,28000,28000,22100,22100,21100,2500,8800,6600,6600,3900,4900,12000,7100,2200,14100,5000,5000,21000,20700,8400,3900
7700,12200,6900,31600,23100,29400,23100,21800,12500,5000,7900,8100,3900,14400,3900,7700,7100,11800,3900,12300,7100,19700,1100,0,25700,20000,20000,25700,25700,6700,2200,2200,23200,2200,2200,22800,23200,23200,21800,17100,6900,1500,31800,6100,4000,11000,27900,25700,20500,6900,7500,22900,27900,27900,22800,22800,21800,1500,7800,6400,6400,3100,3900,12200,6100,1200,14400,4000,3900,20500,20000,7600,3000
26200,37800,29500,7900,19500,10900,6700,18900,38100,20800,23400,23200,24500,39700,24500,27900,22900,17200,27500,38000,28900,14500,25800,25700,0,14300,14900,0,0,23300,24600,24600,9800,24600,24600,19600,19100,19100,18900,15900,29500,25300,7700,28300,22900,36300,2300,0,9900,29500,18200,8600,2300,2300,19400,19400,18900,25300,25900,19300,19300,27800,27600,37800,28300,26400,39700,27400,24500,9900,14300,20300,27500
16400,31400,20400,22300,28000,24400,17900,26900,30400,15600,13800,13500,16900,34000,16900,18100,13900,8200,19700,30600,19600,374,20700,20000,14300,0,561,14300,14300,14400,18000,18000,20500,18000,18000,27800,27600,27600,26900,3100,20400,18800,22000,19400,16100,28200,15300,14300,4500,20400,14100,19300,15300,15300,27600,27600,26900,18800,16100,14900,14900,20500,19800,31400,19400,20000,34000,19600,16900,4500,0,12400,20200
16200,31300,20200,22700,28400,24900,18400,27300,30300,15700,13600,13400,16800,33900,116800,17900,13800,8200,19500,30500,19400,494,20700,20000,14900,561,0,14900,14900,14300,18000,18000,21000,18000,18000,28300,28100,28100,27300,2900,20200,18800,22500,19200,16100,28100,15900,14900,5000,20200,14200,19800,15900,15900,28100,28100,27300,18800,15900,15100,15100,20400,19700,31300,19200,20000,33900,19500,116800,5000,561,12400,20200
26200,37800,29500,7900,19500,10900,6700,18900,38100,20800,23400,23200,24500,39700,24500,27900,22900,17200,27500,38000,28900,14500,25800,25700,0,14300,14900,0,0,23300,24600,24600,9800,24600,24600,19600,19100,19100,18900,15900,29500,25300,7700,28300,22900,36300,2300,0,9900,29500,18200,8600,2300,2300,19400,19400,18900,25300,25900,19300,19300,27800,27600,37800,28300,26400,39700,27400,24500,9900,14300,20300,27500
26200,37800,29500,7900,19500,10900,6700,18900,38100,20800,23400,23200,24500,39700,24500,27900,22900,17200,27500,38000,28900,14500,25800,25700,0,14300,14900,0,0,23300,24600,24600,9800,24600,24600,19600,19100,19100,18900,15900,29500,25300,7700,28300,22900,36300,2300,0,9900,29500,18200,8600,2300,2300,19400,19400,18900,25300,25900,19300,19300,27800,27600,37800,28300,26400,39700,27400,24500,9900,14300,20300,27500
3100,17000,6400,30200,26000,29400,22500,24700,16100,5400,1300,1400,2800,19700,2800,4700,459,6700,5300,16200,5700,14100,7700,6700,23300,14400,14300,23300,23300,0,4500,4500,23400,4500,4500,25700,25900,25900,24700,11400,6400,5200,30300,5200,3200,13900,25200,23300,16000,6400,7000,22800,25200,25200,25700,25700,24700,5200,2900,6500,6500,6200,5400,17000,5200,6200,19700,5200,2800,16000,14400,2900,5900
5900,13700,6100,30900,23700,29000,22500,22300,13600,3900,5800,6000,1900,16200,1900,6300,4900,9800,3300,13600,6000,17700,3100,2200,24600,18000,18000,24600,24600,4500,0,0,22900,0,0,23400,23700,23700,22300,15100,6100,834,31000,5100,2000,11800,26700,24600,18800,6100,6500,22500,26700,26700,23400,23400,22300,834,5900,5500,5500,3200,3400,13700,5100,2000,16200,3300,1900,18800,18000,5600,2900
5900,13700,6100,30900,23700,29000,22500,22300,13600,3900,5800,6000,1900,16200,1900,6300,4900,9800,3300,13600,6000,17700,3100,2200,24600,18000,18000,24600,24600,4500,0,0,22900,0,0,23400,23700,23700,22300,15100,6100,834,31000,5100,2000,11800,26700,24600,18800,6100,6500,22500,26700,26700,23400,23400,22300,834,5900,5500,5500,3200,3400,13700,5100,2000,16200,3300,1900,18800,18000,5600,2900
26500,34300,28800,10000,9900,6300,3200,9400,35400,19100,24100,24000,23500,35500,23500,27900,23300,19200,26100,35200,28500,20500,22900,23200,9800,20500,21000,9800,9800,23400,22900,22900,0,22900,22900,9900,9300,9300,9400,20700,28800,23300,10600,27600,21800,34100,11400,9800,16300,28800,16700,1300,11400,11400,9700,9700,9400,23300,26300,17500,17500,25900,26200,34300,27600,24200,35500,26100,23500,16300,20500,20600,25700
5900,13700,6100,30900,23700,29000,22500,22300,13600,3900,5800,6000,1900,16200,1900,6300,4900,9800,3300,13600,6000,17700,3100,2200,24600,18000,18000,24600,24600,4500,0,0,22900,0,0,23400,23700,23700,22300,15100,6100,834,31000,5100,2000,11800,26700,24600,18800,6100,6500,22500,26700,26700,23400,23400,22300,834,5900,5500,5500,3200,3400,13700,5100,2000,16200,3300,1900,18800,18000,5600,2900
5900,13700,6100,30900,23700,29000,22500,22300,13600,3900,5800,6000,1900,16200,1900,6300,4900,9800,3300,13600,6000,17700,3100,2200,24600,18000,18000,24600,24600,4500,0,0,22900,0,0,23400,23700,23700,22300,15100,6100,834,31000,5100,2000,11800,26700,24600,18800,6100,6500,22500,26700,26700,23400,23400,22300,834,5900,5500,5500,3200,3400,13700,5100,2000,16200,3300,1900,18800,18000,5600,2900
28600,31500,29500,19000,262,13300,12900,1100,33400,20500,26800,26800,24700,31900,24700,29500,25800,24000,26500,33000,29500,27800,22100,22800,19600,27800,28300,19600,19600,25700,23400,23400,9900,23400,23400,0,734,734,1100,27200,29500,23600,19600,28500,23200,32800,21300,19600,24400,29500,18900,11100,21300,21300,257,257,1100,23600,28500,19200,19200,25900,26600,31500,28500,24100,31900,26600,24700,24400,27800,23600,25800
28800,32000,29800,18300,528,12600,12400,1400,33900,20700,26900,26900,25000,32500,25000,29700,26000,24000,26900,33500,29800,27600,22500,23200,19100,27600,28100,19100,19100,25900,23700,23700,9300,23700,23700,734,0,0,1400,27100,29800,23900,18900,28800,23400,33200,20800,19100,24100,29800,19000,10500,20800,20800,541,541,1400,23900,28700,19400,19400,26200,26900,32000,28800,24400,32500,26900,25000,24100,27600,23700,26100
28800,32000,29800,18300,528,12600,12400,1400,33900,20700,26900,26900,25000,32500,25000,29700,26000,24000,26900,33500,29800,27600,22500,23200,19100,27600,28100,19100,19100,25900,23700,23700,9300,23700,23700,734,0,0,1400,27100,29800,23900,18900,28800,23400,33200,20800,19100,24100,29800,19000,10500,20800,20800,541,541,1400,23900,28700,19400,19400,26200,26900,32000,28800,24400,32500,26900,25000,24100,27600,23700,26100
27500,30700,28500,18700,1300,13300,12200,0,32600,19400,25600,25500,23700,31100,23700,28400,24700,22900,25500,32200,28400,26800,21100,21800,18900,26900,27300,18900,18900,24700,22300,22300,9400,22300,22300,1100,1400,1400,0,26100,28500,22500,19400,27500,22100,31800,20700,18900,23400,28500,17800,10500,20700,20700,1000,1000,0,22500,27400,18100,18100,24900,25600,30700,27500,23000,31100,25500,23700,23400,26900,22500,24700
13300,28400,17300,23800,27300,25200,18400,26100,27400,12900,10700,10400,13900,31000,13900,15000,10900,5400,16600,27600,16500,2700,17800,17100,15900,3100,2900,15900,15900,11400,15100,15100,20700,15100,15100,27200,27100,27100,26100,0,17300,15900,23600,16300,13200,25200,17200,15900,6300,17300,11700,19600,17200,17200,27000,27000,26100,15900,13000,12500,12500,17500,16800,28400,16300,17100,31000,16500,13900,6300,3100,9500,17200
4100,11800,0,36200,29700,34600,28100,28500,10100,9700,6800,7000,5300,14700,5300,2600,6800,13000,3000,10400,861,20000,7800,6900,29500,20400,20200,29500,29500,6400,6100,6100,28800,6100,6100,29500,29800,29800,28500,17300,0,5900,36400,1200,7000,7900,31500,29500,22400,0,12100,28300,31500,31500,29500,29500,28500,5900,4400,11300,11300,3900,3000,11800,1200,5600,14700,3000,5300,22400,20400,9200,3900
6200,12900,5900,31400,23800,29500,23100,22500,12800,4500,6500,6700,2500,15300,2500,6400,5700,10700,3000,12700,6000,18500,2500,1500,25300,18800,18800,25300,25300,5200,834,834,23300,834,834,23600,23900,23900,22500,15900,5900,0,31600,5000,2800,11100,27400,25300,19600,5900,7100,23000,27400,27400,23500,23500,22500,0,6300,6100,6100,2600,3000,12900,5000,1200,15300,3000,2500,19600,18800,6400,2400
33400,43700,36400,689,19500,6800,9100,19400,44300,27100,30600,30400,31200,45200,31200,35000,30000,24600,34100,44100,35900,22200,31700,31800,7700,22000,22500,7700,7700,30300,31000,31000,10600,31000,31000,19600,18900,18900,19400,23600,36400,31600,0,35200,29600,42700,6800,7700,17600,36400,24500,10000,6800,6800,19400,19400,19400,31600,33100,25600,25600,34200,34200,43700,35200,32700,45200,34100,31200,17600,22000,27400,34000
